"ID","CLASS","METHOD","LABEL","OD","THICK","WIDTH","DEPTH","WEBTHICK","FLANGETHICK","ROOTRADIUS","ROOTCHAMFER","TOERADIUS","RADIUS","LIP","FLANGE","EXT"
"#X#57","SZCOSection-Pipe","Make","13.5x2.3 CHS - C250","13.5","2.3",,,,,,,,,,,
"#X#58","SZCOSection-Pipe","Make","13.5x2.9 CHS - C250","13.5","2.9",,,,,,,,,,,
"#X#59","SZCOSection-Pipe","Make","17.2x2.3 CHS - C250","17.2","2.3",,,,,,,,,,,
"#X#60","SZCOSection-Pipe","Make","17.2x2.9 CHS - C250","17.2","2.9",,,,,,,,,,,
"#X#61","SZCOSection-Pipe","Make","21.3x2.0 CHS - C350","21.3","2",,,,,,,,,,,
"#X#62","SZCOSection-Pipe","Make","21.3x2.6 CHS - C250","21.3","2.6",,,,,,,,,,,
"#X#63","SZCOSection-Pipe","Make","21.3x3.2 CHS - C250","21.3","3.2",,,,,,,,,,,
"#X#64","SZCOSection-Pipe","Make","21.3x3.6 CHS - C250","21.3","3.6",,,,,,,,,,,
"#X#65","SZCOSection-Pipe","Make","26.9x2.0 CHS - C350","26.9","2",,,,,,,,,,,
"#X#66","SZCOSection-Pipe","Make","26.9x2.3 CHS - C350","26.9","2.3",,,,,,,,,,,
"#X#67","SZCOSection-Pipe","Make","26.9x2.6 CHS - C250","26.9","2.6",,,,,,,,,,,
"#X#68","SZCOSection-Pipe","Make","26.9x3.2 CHS - C250","26.9","3.2",,,,,,,,,,,
"#X#69","SZCOSection-Pipe","Make","26.9x4.0 CHS - C250","26.9","4",,,,,,,,,,,
"#X#70","SZCOSection-Pipe","Make","33.7x2.0 CHS - C350","33.7","2",,,,,,,,,,,
"#X#71","SZCOSection-Pipe","Make","33.7x2.6 CHS - C350","33.7","2.6",,,,,,,,,,,
"#X#72","SZCOSection-Pipe","Make","33.7x3.2 CHS - C250","33.7","3.2",,,,,,,,,,,
"#X#73","SZCOSection-Pipe","Make","33.7x4.0 CHS - C250","33.7","4",,,,,,,,,,,
"#X#74","SZCOSection-Pipe","Make","33.7x4.5 CHS - C250","33.7","4.5",,,,,,,,,,,
"#X#75","SZCOSection-Pipe","Make","42.4x2.0 CHS - C350","42.4","2",,,,,,,,,,,
"#X#76","SZCOSection-Pipe","Make","42.4x2.6 CHS - C350","42.4","2.6",,,,,,,,,,,
"#X#77","SZCOSection-Pipe","Make","42.4x3.2 CHS - C250","42.4","3.2",,,,,,,,,,,
"#X#78","SZCOSection-Pipe","Make","42.4x4.0 CHS - C250","42.4","4",,,,,,,,,,,
"#X#79","SZCOSection-Pipe","Make","42.4x4.9 CHS - C250","42.4","4.9",,,,,,,,,,,
"#X#80","SZCOSection-Pipe","Make","48.3x2.3 CHS - C350","48.3","2.3",,,,,,,,,,,
"#X#81","SZCOSection-Pipe","Make","48.3x2.9 CHS - C350","48.3","2.9",,,,,,,,,,,
"#X#82","SZCOSection-Pipe","Make","48.3x3.2 CHS - C250","48.3","3.2",,,,,,,,,,,
"#X#83","SZCOSection-Pipe","Make","48.3x4.0 CHS - C250","48.3","4",,,,,,,,,,,
"#X#84","SZCOSection-Pipe","Make","48.3x5.4 CHS - C250","48.3","5.4",,,,,,,,,,,
"#X#85","SZCOSection-Pipe","Make","60.3x2.3 CHS - C350","60.3","2.3",,,,,,,,,,,
"#X#86","SZCOSection-Pipe","Make","60.3x2.9 CHS - C350","60.3","2.9",,,,,,,,,,,
"#X#87","SZCOSection-Pipe","Make","60.3x3.6 CHS - C250","60.3","3.6",,,,,,,,,,,
"#X#88","SZCOSection-Pipe","Make","60.3x4.5 CHS - C250","60.3","4.5",,,,,,,,,,,
"#X#89","SZCOSection-Pipe","Make","60.3x5.4 CHS - C250","60.3","5.4",,,,,,,,,,,
"#X#90","SZCOSection-Pipe","Make","76.1x2.3 CHS - C350","76.1","2.3",,,,,,,,,,,
"#X#91","SZGEShape-UniversalI","Make","610UB125",,,"229","612","11.9","19.6","14",,,,,,
"#X#92","SZGEShape-UniversalI","Make","610UB113",,,"228","607","11.2","17.3","14",,,,,,
"#X#93","SZGEShape-UniversalI","Make","610UB101",,,"228","602","10.6","14.8","14",,,,,,
"#X#94","SZGEShape-UniversalI","Make","530UB92.4",,,"209","533","10.2","15.6","14",,,,,,
"#X#95","SZGEShape-UniversalI","Make","530UB82.0",,,"209","528","9.6","13.2","14",,,,,,
"#X#96","SZGEShape-UniversalI","Make","460UB82.1",,,"191","460","9.9","16","11.4",,,,,,
"#X#97","SZGEShape-UniversalI","Make","460UB74.6",,,"190","457","9.1","14.5","11.4",,,,,,
"#X#98","SZGEShape-UniversalI","Make","460UB67.1",,,"190","454","8.5","12.7","11.4",,,,,,
"#X#99","SZGEShape-UniversalI","Make","410UB59.7",,,"178","406","7.8","12.8","11.4",,,,,,
"#X#100","SZGEShape-UniversalI","Make","410UB53.7",,,"178","403","7.6","10.9","11.4",,,,,,
"#X#101","SZGEShape-UniversalI","Make","360UB56.7",,,"172","359","8","13","11.4",,,,,,
"#X#102","SZGEShape-UniversalI","Make","360UB50.7",,,"171","356","7.3","11.5","11.4",,,,,,
