"ID","CLASS","METHOD","LABEL","OD","THICK","WIDTH","DEPTH","WEBTHICK","FLANGETHICK","ROOTRADIUS","ROOTCHAMFER","TOERADIUS","RADIUS","LIP","FLANGE","EXT"
"#X#253","SZGEShape-ZPurlin","Make","Z15019",,"1.9",,"152",,,,,,"5","16.5","61","65"
"#X#254","SZGEShape-ZPurlin","Make","Z15024",,"2.4",,"152",,,,,,"5","18.5","60","66"
"#X#255","SZGEShape-ZPurlin","Make","Z20015",,"1.5",,"203",,,,,,"5","15.5","74","79"
"#X#256","SZGEShape-ZPurlin","Make","Z20019",,"1.9",,"203",,,,,,"5","19","74","79"
"#X#257","SZGEShape-ZPurlin","Make","Z20024",,"2.4",,"203",,,,,,"5","21","73","79"
"#X#258","SZGEShape-ZPurlin","Make","Z25019",,"1.9",,"254",,,,,,"5","18.5","74","79"
"#X#259","SZGEShape-ZPurlin","Make","Z25024",,"2.4",,"254",,,,,,"5","20.5","73","79"
"#X#260","SZGEShape-ZPurlin","Make","Z30024",,"2.4",,"300",,,,,,"5","27.5","93","100"
"#X#261","SZGEShape-ZPurlin","Make","Z30030",,"3",,"300",,,,,,"5","31.5","93","100"
"#X#262","SZGEShape-ZPurlin","Make","Z35030",,"3",,"350",,,,,,"5","30","121","129"
"#X#263","SZGEShape-CPurlin","Make","C10010",,"1","51","102",,,,,,"5","12.5",,
"#X#264","SZGEShape-CPurlin","Make","C10012",,"1.2","51","102",,,,,,"5","12.5",,
"#X#265","SZGEShape-CPurlin","Make","C10015",,"1.5","51","102",,,,,,"5","13.5",,
"#X#266","SZGEShape-CPurlin","Make","C10019",,"1.9","51","102",,,,,,"5","14.5",,
"#X#267","SZGEShape-CPurlin","Make","C15012",,"1.2","64","152",,,,,,"5","14.5",,
"#X#268","SZGEShape-CPurlin","Make","C15015",,"1.5","64","152",,,,,,"5","15.5",,
"#X#269","SZGEShape-CPurlin","Make","C15019",,"1.9","64","152",,,,,,"5","16.5",,
"#X#270","SZGEShape-CPurlin","Make","C15024",,"2.4","64","152",,,,,,"5","18.5",,
"#X#271","SZGEShape-CPurlin","Make","C20015",,"1.5","76","203",,,,,,"5","15.5",,
"#X#272","SZGEShape-CPurlin","Make","C20019",,"1.9","76","203",,,,,,"5","19",,
"#X#273","SZGEShape-CPurlin","Make","C20024",,"2.4","76","203",,,,,,"5","21",,
"#X#274","SZGEShape-CPurlin","Make","C25019",,"1.9","76","254",,,,,,"5","18.5",,
"#X#275","SZGEShape-CPurlin","Make","C25024",,"2.4","76","254",,,,,,"5","20.5",,
"#X#276","SZGEShape-CPurlin","Make","C30024",,"2.4","96","300",,,,,,"5","27.5",,
"#X#277","SZGEShape-CPurlin","Make","C30030",,"3","96","300",,,,,,"5","31.5",,
"#X#278","SZGEShape-CPurlin","Make","C35030",,"3","125","350",,,,,,"5","30",,
