"ID","CLASS","METHOD","DIA","PITCH","INWIDTH"
"#X#2","SZGEShape-ChainLink","Make","28","84","37"
"#X#3","SZGEShape-ChainLink","Make","22","66","29"
"#X#4","SZGEShape-ChainLink","Make","20","60","26"
"#X#5","SZGEShape-ChainLink","Make","16","48","21"
"#X#6","SZGEShape-ChainLink","Make","13","39","17"
"#X#7","SZGEShape-ChainLink","Make","10","30","13"
"#X#8","SZGEShape-ChainLink","Make","8","24","10"
"#X#9","SZGEShape-ChainLink","Make","6","18","7.8"
"#X#1","SZGEShape-ChainLink","Make","4","12","5.2"
