"ID","CLASS","METHOD","DIA","PITCH","INWIDTH"
"#X#5","SZGEShape-ChainLink","Make","16","48","21"
"#X#6","SZGEShape-ChainLink","Make","13","39","17"
"#X#7","SZGEShape-ChainLink","Make","10","30","13"
"#X#8","SZGEShape-ChainLink","Make","8","24","10.4"
"#X#9","SZGEShape-ChainLink","Make","6","18","7.8"
"#X#1","SZGEShape-ChainLink","Make","4","12","5.2"
